row_names,Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
76,UHA-0115,10,3.18E-03,7.73E-06,UHA-0351,11,10,0,7.71E+00,UHA-0258,10,9,1,7.88E-01,0.00E+00,,9,2,-1.80E+00,0.00E+00,
77,UHA-0116,11,6.29E-05,4.24E-06,UHA-0351,11,11,2,-8.62E-01,UHA-0260,11,11,0,1.06E+01,1.06E+01,*,11,3,8.27E+00,8.27E+00,*
78,UHA-0118,11,8.62E-05,2.88E-08,UHA-0351,11,11,1,4.54E+00,UHA-0261,11,11,0,1.17E+01,1.17E+01,*,11,2,9.52E+00,9.52E+00,*
79,UHA-0119,11,1.04E-03,1.94E-05,UHA-0351,11,11,1,5.85E+00,UHA-0257,11,11,0,1.21E+01,1.04E+01,*,11,1,1.35E+01,1.35E+01,*
80,UHA-0120,11,9.49E-05,1.48E-08,UHA-0351,11,11,0,8.79E+00,UHA-0257,11,11,1,7.71E+00,7.71E+00,*,11,2,6.15E+00,6.15E+00,*
81,UHA-0121,11,1.35E-04,7.57E-06,UHA-0351,11,11,0,1.43E+01,UHA-0257,11,11,2,-5.30E-01,0.00E+00,,11,2,1.44E-01,1.44E-01,*
82,UHA-0122,11,3.39E-04,1.68E-05,UHA-0351,11,11,0,1.45E+01,UHA-0257,11,11,1,3.44E+00,3.44E+00,*,11,1,5.03E+00,5.03E+00,*
83,UHA-0123,11,4.38E-04,2.72E-07,UHA-0010,10,10,1,1.35E+00,UHA-0259,10,10,1,2.24E+00,0.00E+00,,10,3,1.12E+00,1.12E+00,*
84,UHA-0124,9,7.46E-03,1.30E-04,UHA-0010,10,8,1,7.21E-01,UHA-0259,10,8,0,2.90E+00,1.36E+00,+,8,2,2.24E+00,2.24E+00,*
85,UHA-0125,11,1.70E-04,6.64E-08,UHA-0010,10,10,1,1.87E+00,UHA-0256,9,9,3,-6.43E+00,0.00E+00,,9,5,-9.63E+00,0.00E+00,
86,UHA-0128,10,2.38E-03,3.42E-08,UHA-0010,10,10,1,-1.89E+00,UHA-0259,10,10,1,6.82E+00,2.63E+00,*,10,3,5.10E+00,5.10E+00,*
87,UHA-0129,9,2.19E-03,1.10E-06,UHA-0010,10,8,0,3.56E+00,UHA-0259,10,8,1,2.18E+00,0.00E+00,,8,2,7.89E-01,7.89E-01,*
88,UHA-0130,11,2.57E-04,2.09E-07,UHA-0010,10,10,0,8.68E+00,UHA-0259,10,10,3,-5.18E+00,0.00E+00,,10,3,-3.60E+00,0.00E+00,
89,UHA-0131,11,5.76E-05,1.42E-08,UHA-0010,10,10,2,-3.30E+00,UHA-0263,11,11,1,3.27E+00,0.00E+00,,11,6,-9.09E+00,0.00E+00,
90,UHA-0132,11,4.72E-05,2.01E-10,UHA-0010,10,10,1,7.67E-01,UHA-0267,11,11,2,-6.39E-01,0.00E+00,,11,6,-1.13E+01,0.00E+00,
91,UHA-0133,10,9.47E-03,3.67E-03,UHA-0010,10,10,1,7.10E+00,UHA-0224,11,10,1,5.28E-02,0.00E+00,,10,1,4.33E+00,3.39E-03,*
92,UHA-0134,10,1.84E-03,1.53E-05,UHA-0010,10,9,1,1.55E+00,UHA-0259,10,9,0,8.52E+00,6.51E+00,*,9,1,1.08E+01,1.08E+01,*
93,UHA-0136,11,3.62E-04,1.21E-09,UHA-0010,10,10,0,3.86E+00,UHA-0259,10,10,2,1.01E+00,0.00E+00,,10,3,-1.88E-02,0.00E+00,
94,UHA-0137,11,3.70E-04,9.64E-08,UHA-0010,10,10,0,7.14E+00,UHA-0259,10,10,2,2.82E-02,0.00E+00,,10,2,2.77E+00,2.77E+00,*
95,UHA-0138,11,6.90E-04,1.30E-06,UHA-0010,10,10,2,-1.82E+00,UHA-0469,11,11,2,9.08E-02,9.08E-02,+,11,4,2.62E+00,9.21E-01,*
96,UHA-0139,11,4.65E-04,9.66E-06,UHA-0010,10,10,1,5.18E+00,UHA-0260,11,11,1,1.96E+00,1.56E+00,+,11,3,2.62E-01,2.62E-01,*
97,UHA-0140,11,1.65E-04,4.65E-08,UHA-0010,10,10,1,2.76E+00,UHA-0351,11,11,1,-2.15E-01,0.00E+00,,11,5,-9.06E+00,0.00E+00,
98,UHA-0141,11,1.27E-03,1.60E-05,UHA-0010,10,10,1,4.25E+00,UHA-0257,11,11,1,-6.49E-01,0.00E+00,,11,3,-6.08E-01,0.00E+00,
99,UHA-0143,11,4.61E-04,9.56E-08,UHA-0010,10,10,1,1.54E+00,UHA-0259,10,10,1,4.20E+00,4.20E+00,*,10,2,8.48E+00,8.48E+00,*
100,UHA-0144,11,3.40E-04,1.08E-06,UHA-0010,10,10,0,9.32E+00,UHA-0265,11,11,0,1.35E+01,7.23E+00,*,11,2,4.79E+00,4.79E+00,*
101,UHA-0146,9,4.18E-03,5.22E-05,UHA-0010,10,8,1,3.85E+00,UHA-0015,11,9,2,-3.17E+00,0.00E+00,,9,3,-2.26E+00,0.00E+00,
102,UHA-0147,10,3.77E-03,1.09E-06,UHA-0010,10,9,0,4.63E+00,UHA-0259,10,9,0,6.12E+00,4.49E+00,*,9,1,6.98E+00,6.98E+00,*
103,UHA-0150,11,2.12E-03,8.65E-08,UHA-0012,11,11,0,9.04E+00,UHA-0266,10,10,1,3.56E+00,3.28E+00,*,10,1,6.28E+00,6.28E+00,*
104,UHA-0162,9,4.85E-04,6.62E-08,UHA-0012,11,9,0,5.39E+00,UHA-0177,9,9,0,1.16E+01,1.15E+01,*,9,1,1.27E+01,1.27E+01,*
105,UHA-0163,11,1.05E-03,1.67E-05,UHA-0012,11,11,1,7.44E+00,UHA-0258,10,10,1,8.17E-01,8.17E-01,+,10,4,-4.10E+00,0.00E+00,
106,UHA-0164,9,1.91E-03,3.75E-05,UHA-0016,9,7,0,7.16E+00,UHA-0266,10,9,1,1.48E+00,0.00E+00,,9,1,3.05E+00,3.05E+00,*
107,UHA-0165,11,1.03E-03,2.69E-06,UHA-0016,9,9,0,4.95E+00,UHA-0266,10,10,0,5.83E+00,0.00E+00,,10,1,2.80E+00,2.80E+00,*
108,UHA-0167,8,3.51E-03,1.11E-06,UHA-0013,11,8,0,4.95E+00,UHA-0260,11,8,2,1.96E+00,0.00E+00,,8,2,3.65E+00,3.65E+00,*
109,UHA-0148,11,1.34E-04,4.73E-11,UHA-0012,11,11,0,5.34E+00,UHA-0203,10,10,5,-1.05E+01,0.00E+00,,10,5,-8.41E+00,0.00E+00,
110,UHA-0151,11,8.45E-04,1.14E-05,UHA-0012,11,11,0,1.22E+01,UHA-0351,11,11,1,2.04E+00,2.04E+00,*,11,1,5.32E+00,5.32E+00,*
111,UHA-0152,11,4.82E-04,1.16E-07,UHA-0012,11,11,0,8.11E+00,UHA-0260,11,11,2,1.19E+00,0.00E+00,,11,3,6.38E-01,6.38E-01,*
112,UHA-0153,11,1.43E-04,1.93E-08,UHA-0012,11,11,0,1.15E+01,UHA-0260,11,11,3,-5.87E+00,0.00E+00,,11,4,-6.66E+00,0.00E+00,
113,UHA-0154,11,8.41E-04,5.72E-08,UHA-0012,11,11,0,9.42E+00,UHA-0258,10,10,2,-4.72E+00,0.00E+00,,10,3,-4.32E+00,0.00E+00,
114,UHA-0155,11,9.56E-04,2.51E-07,UHA-0012,11,11,0,9.17E+00,UHA-0257,11,11,0,5.54E+00,0.00E+00,,11,1,8.12E+00,8.12E+00,*
115,UHA-0156,11,1.22E-03,6.84E-14,UHA-0012,11,11,0,3.56E+00,UHA-0287,8,8,3,-8.94E+00,0.00E+00,,8,5,-1.44E+01,0.00E+00,
116,UHA-0157,10,6.91E-04,2.57E-06,UHA-0012,11,10,0,9.60E+00,UHA-0258,10,9,1,6.85E-01,6.85E-01,+,9,2,1.07E+00,1.07E+00,*
118,UHA-0158,11,5.58E-04,1.44E-04,UHA-0012,11,11,2,6.23E-01,UHA-0267,11,11,1,9.52E-01,0.00E+00,,11,4,-1.22E+00,0.00E+00,
119,UHA-0159,11,1.06E-03,1.86E-06,UHA-0012,11,11,1,2.14E+00,UHA-0260,11,11,1,4.50E+00,4.50E+00,*,11,3,3.49E+00,3.49E+00,*
